Table_Column,CSV_Column,Table_name,File_Name
Unit_Id,UNITID,testschools,schools
School_Name,INSTNM,testschools,schools
School_Address,ADDR,testschools,schools
School_City,CITY,testschools,schools
School_State,STABBR,testschools,schools
School_Zip,ZIP,testschools,schools
School_St_FIPS,FIPS,testschools,schools
School_GeoLoc,OBEREG,testschools,schools
Admin_Name,CHFNM,testschools,schools
Admin_Title,CHFTITLE,testschools,schools
School_TelNum,GENTELE,testschools,schools
EmpID,EIN,testschools,schools
OPE_ID,OPEID,testschools,schools
OPE_Flag,OPEFLAG,testschools,schools
SchoolURL,WEBADDR,testschools,schools
AdmissionURL,ADMINURL,testschools,schools
FinanceURL,FAIDURL,testschools,schools
OnlineAppURL,APPLURL,testschools,schools
NetPrice_CalcURL,NPRICURL,testschools,schools
VetURL,VETURL,testschools,schools
AuthURL,ATHURL,testschools,schools
School_Sector,SECTOR,testschools,schools
School_Level,ICLEVEL,testschools,schools
School_Control,CONTROL,testschools,schools
HL_Offering,HLOFFER,testschools,schools
UG_Offering,UGOFFER,testschools,schools
Grad_Offering,GROFFER,testschools,schools
HD_Offered,HDEGOFR1,testschools,schools
Deg_GrantStat,DEGGRANT,testschools,schools
Hist_BlkColg,HBCU,testschools,schools
Hospital,HOSPITAL,testschools,schools
Inst_MedicalDeg,MEDICAL,testschools,schools
TribalClg,TRIBAL,testschools,schools
Deg_Urban,LOCALE,testschools,schools
OpenPublic,OPENPUBL,testschools,schools
School_Status,ACT,testschools,schools
MergedSchool_UNITID,NEWID,testschools,schools
IPEDS_DeleteYr,DEATHYR,testschools,schools
School_ClosedDt,CLOSEDAT,testschools,schools
CurrentYr_Active,CYACTIVE,testschools,schools
PostSec_Indicator,POSTSEC,testschools,schools
PostSec_InstIndicator,PSEFLAG,testschools,schools
PostSec_4InstIndicator,PSET4FLG,testschools,schools
Rpt_Method,RPTMTH,testschools,schools
Inst_NameAlias,IALIAS,testschools,schools
Inst_Category,INSTCAT,testschools,schools
Land_GrandInst,LANDGRNT,testschools,schools
Inst_SizeCategory,INSTSIZE,testschools,schools
CBSA,CBSA,testschools,schools
CBSA_Type,CBSATYPE,testschools,schools
Combined_StatArea,CSA,testschools,schools
NewEng_CityTown,NECTA,testschools,schools
MultiInst,F1SYSTYP,testschools,schools
MultiInst_Name,F1SYSNAM,testschools,schools
MultiInst_ID,F1SYSCOD,testschools,schools
Fips_CtyCode,COUNTYCD,testschools,schools
School_Country,COUNTYNM,testschools,schools
Cogressional_DistCode,CNGDSTCD,testschools,schools
GeoLong,LONGITUD,testschools,schools
GeoLat,LATITUDE,testschools,schools
